ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,EDM1,EDM2,EDM3,EDM4,EDM5
370,22.0,4,4.25,2.75,12,10,0,0,1,0,1,1,1,1,0,0,0,0,1,0
371,22.0,4,1.25,0.3,13,8,0,0,1,0,0,0,1,1,0,1,0,0,0,0
372,22.0,2,0.3,0.75,5,7,0,1,0,0,0,1,1,1,0,0,1,0,0,0
373,22.0,4,0.3,0.75,5,7,0,0,1,0,1,1,1,1,0,0,1,0,0,0
374,22.0,4,0.3,4.75,5,15,0,0,1,0,1,0,1,1,0,0,0,0,0,1
375,30.0,4,0.3,0.75,7,10,0,0,1,0,1,1,1,1,0,0,1,0,0,0
376,30.0,4,0.3,1.25,10,30,0,0,1,0,1,1,1,1,0,0,0,1,0,0
377,40.0,4,0.3,0.75,5,7,0,0,1,0,1,0,0,1,0,0,1,0,0,0
378,40.0,4,0.3,0.75,5,7,0,0,1,1,1,0,0,1,0,0,1,0,0,0
379,22.0,4,0.75,0.75,10,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0
380,40.0,2,0.75,0.3,10,3,0,1,0,1,1,1,1,1,0,1,0,0,0,0
381,54.0,4,0.3,0.3,5,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0
382,40.0,4,0.3,1.25,5,15,0,0,1,0,1,0,0,1,0,0,0,1,0,0
383,54.0,4,0.3,0.3,5,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0
384,54.0,4,0.3,0.75,5,8,0,0,1,0,1,0,0,1,0,0,1,0,0,0
385,30.0,4,0.3,0.75,5,5,0,0,1,0,1,1,1,1,0,0,1,0,0,0
386,30.0,4,5.0,0.75,45,10,0,0,1,0,1,1,1,1,0,0,1,0,0,0
387,40.0,4,1.25,0.3,15,5,0,0,1,1,1,0,1,1,0,1,0,0,0,0
388,30.0,1,0.3,1.75,2,5,1,0,0,0,1,1,1,1,0,0,0,1,0,0
389,22.0,4,0.3,0.3,2,5,0,0,1,0,0,0,1,1,0,1,0,0,0,0
390,22.0,1,0.75,1.75,5,10,1,0,0,0,1,1,1,1,0,0,0,1,0,0
391,30.0,1,0.3,0.75,5,10,1,0,0,0,1,1,1,1,0,0,1,0,0,0
392,22.0,4,0.3,0.75,10,10,0,0,1,0,0,1,1,1,0,0,1,0,0,0
393,30.0,4,0.3,0.75,3,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0
394,30.0,2,0.75,5.0,7,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1
395,22.0,2,0.75,1.25,10,7,0,1,0,0,1,0,0,1,0,0,0,1,0,0
396,22.0,4,0.75,0.75,10,5,0,0,1,0,1,0,0,1,0,0,1,0,0,0
397,30.0,4,2.75,0.3,10,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0
398,22.0,4,0.3,0.3,3,7,0,0,1,0,1,0,0,1,0,1,0,0,0,0
399,22.0,4,0.75,0.3,5,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
400,30.0,4,0.3,0.75,5,10,0,0,1,0,1,1,1,1,0,0,1,0,0,0
401,22.0,4,0.3,1.25,5,5,0,0,1,0,0,0,1,1,0,0,0,1,0,0
402,30.0,4,0.3,0.3,5,3,0,0,1,0,0,1,1,1,0,1,0,0,0,0
403,22.0,4,0.3,0.75,3,10,0,0,1,0,1,1,1,1,0,0,1,0,0,0
