ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,EDM1,EDM2,EDM3,EDM4,EDM5
183,22.0,4,1.25,0.3,15,2,0,0,1,0,1,1,1,1,0,1,0,0,0,0
184,22.0,4,0.3,0.3,2,6,0,0,1,1,1,0,0,1,0,1,0,0,0,0
185,22.0,4,0.75,0.75,10,10,0,0,1,0,0,1,1,1,0,0,1,0,0,0
186,30.0,4,0.3,5.0,5,20,0,0,1,0,0,0,1,1,0,0,0,0,0,1
187,22.0,4,0.3,0.75,10,15,0,0,1,0,1,0,0,1,0,0,1,0,0,0
188,30.0,4,2.25,5.0,15,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1
189,22.0,2,0.3,0.3,5,2,0,1,0,0,1,0,1,1,0,1,0,0,0,0
190,22.0,2,0.3,5.0,2,30,0,1,0,1,1,0,1,1,0,0,0,0,0,1
191,40.0,4,0.75,5.0,15,20,0,0,1,0,1,0,0,1,0,0,0,0,0,1
192,22.0,4,0.3,1.25,5,15,0,0,1,0,0,0,1,1,0,0,0,1,0,0
193,54.0,4,0.3,0.75,10,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0
194,30.0,4,0.3,0.3,5,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
195,22.0,1,0.3,0.75,5,10,1,0,0,0,1,0,1,1,0,0,1,0,0,0
196,22.0,4,0.3,0.75,4,10,0,0,1,0,1,0,1,1,0,0,1,0,0,0
197,22.0,4,0.3,0.3,3,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
198,54.0,4,0.3,3.25,5,15,0,0,1,1,1,0,1,1,0,0,0,0,1,0
199,54.0,4,0.3,0.75,15,5,0,0,1,0,1,1,0,1,0,0,1,0,0,0
200,22.0,4,1.25,1.25,15,20,0,0,1,1,0,0,0,1,0,0,0,1,0,0
201,54.0,1,0.3,5.0,5,30,1,0,0,0,1,1,1,1,0,0,0,0,0,1
202,22.0,4,0.3,0.3,15,5,0,0,1,0,0,0,1,1,0,1,0,0,0,0
203,22.0,4,0.3,0.75,5,10,0,0,1,0,0,0,1,1,0,0,1,0,0,0
204,22.0,2,0.75,0.75,7,10,0,1,0,0,1,0,0,1,0,0,1,0,0,0
205,22.0,2,1.25,0.3,10,6,0,1,0,1,1,0,0,1,0,1,0,0,0,0
206,30.0,2,0.75,0.75,15,15,0,1,0,0,1,1,1,1,0,0,1,0,0,0
207,40.0,4,0.3,1.75,5,10,0,0,1,0,1,1,1,1,0,0,0,1,0,0
208,22.0,1,0.3,1.25,15,20,1,0,0,1,1,1,1,1,0,0,0,1,0,0
209,22.0,1,1.75,2.25,20,10,1,0,0,1,1,1,1,1,0,0,0,0,1,0
210,22.0,4,0.75,0.3,10,5,0,0,1,0,0,0,1,1,0,1,0,0,0,0
211,22.0,4,0.3,5.0,5,15,0,0,1,1,1,0,1,1,0,0,0,0,0,1
212,30.0,1,5.0,0.3,40,2,1,0,0,0,1,1,1,1,0,1,0,0,0,0
213,54.0,4,0.75,1.75,7,7,0,0,1,0,1,0,0,1,0,0,0,1,0,0
214,30.0,4,0.75,5.0,10,30,0,0,1,0,1,0,0,1,0,0,0,0,0,1
215,30.0,4,0.75,0.3,10,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
216,30.0,4,0.3,0.3,5,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
217,40.0,4,0.75,5.0,5,15,0,0,1,0,1,0,0,1,0,0,0,0,0,1
218,65.0,4,0.3,0.75,7,10,0,0,1,0,0,0,1,1,0,0,1,0,0,0
219,40.0,4,0.75,0.75,15,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0
220,22.0,4,0.75,0.75,5,5,0,0,1,1,1,0,0,1,0,0,1,0,0,0
221,54.0,4,0.75,1.75,7,20,0,0,1,0,0,0,0,1,0,0,0,1,0,0
222,40.0,4,0.3,0.3,5,10,0,0,1,0,0,0,0,1,0,1,0,0,0,0
223,22.0,4,0.3,0.3,5,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0
224,54.0,4,0.75,1.75,6,10,0,0,1,0,1,0,0,1,0,0,0,1,0,0
225,22.0,2,0.75,0.3,7,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0
226,54.0,4,0.75,2.75,15,25,0,0,1,0,1,0,0,1,0,0,0,0,1,0
227,65.0,4,1.25,1.25,12,5,0,0,1,0,1,0,1,1,0,0,0,1,0,0
228,40.0,4,0.75,0.75,7,5,0,0,1,0,1,0,0,1,0,0,1,0,0,0
229,22.0,4,3.75,0.3,30,5,0,0,1,0,0,1,1,1,0,1,0,0,0,0
230,22.0,4,0.3,1.75,5,5,0,0,1,0,1,0,0,1,0,0,0,1,0,0
231,22.0,2,0.75,3.25,15,23,0,1,0,0,1,0,0,1,0,0,0,0,1,0
232,22.0,4,0.3,0.75,5,10,0,0,1,0,0,1,0,1,0,0,1,0,0,0
233,22.0,4,0.3,0.3,5,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0
234,22.0,4,0.75,0.3,7,5,0,0,1,0,1,1,0,1,0,1,0,0,0,0
235,22.0,2,0.3,0.75,5,6,0,1,0,1,1,0,0,1,0,0,1,0,0,0
236,22.0,4,0.75,0.75,10,7,0,0,1,0,1,0,0,1,0,0,1,0,0,0
237,22.0,4,1.25,5.0,15,20,0,0,1,1,1,0,1,1,0,0,0,0,0,1
238,30.0,1,0.3,0.3,2,7,1,0,0,1,1,0,0,1,0,1,0,0,0,0
239,22.0,1,1.25,1.25,15,15,1,0,0,1,1,0,1,1,0,0,0,1,0,0
240,22.0,1,0.3,0.3,4,5,1,0,0,0,1,0,0,1,0,1,0,0,0,0
241,30.0,4,0.3,0.75,2,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0
242,22.0,4,0.75,0.3,10,10,0,0,1,0,1,0,0,1,0,1,0,0,0,0
243,30.0,4,0.75,0.3,12,5,0,0,1,0,1,1,0,1,0,1,0,0,0,0
244,40.0,4,0.75,0.75,7,5,0,0,1,0,1,0,0,1,0,0,1,0,0,0
245,22.0,2,0.75,0.75,10,10,0,1,0,0,1,1,0,1,0,0,1,0,0,0
246,22.0,2,0.75,0.75,12,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0
247,22.0,4,0.3,0.75,5,7,0,0,1,0,1,0,0,1,0,0,1,0,0,0
248,22.0,4,0.75,1.25,5,15,0,0,1,0,1,1,0,1,0,0,0,1,0,0
249,30.0,2,0.3,1.25,5,13,0,1,0,0,1,1,0,1,0,0,0,1,0,0
250,22.0,4,0.3,0.3,5,5,0,0,1,1,1,0,0,1,0,1,0,0,0,0
251,22.0,1,0.3,1.25,10,15,1,0,0,1,1,0,1,1,0,0,0,1,0,0
252,22.0,1,0.3,1.25,10,15,1,0,0,0,1,0,1,1,0,0,0,1,0,0
253,40.0,2,5.0,1.75,15,10,0,1,0,1,1,1,1,1,0,0,0,1,0,0
254,30.0,4,1.75,1.25,10,10,0,0,1,0,1,1,1,1,0,0,0,1,0,0
255,22.0,2,0.3,1.75,5,25,0,1,0,0,1,0,1,1,0,0,0,1,0,0
256,22.0,4,0.75,0.3,7,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0
257,30.0,2,1.75,0.3,10,5,0,1,0,0,1,1,0,1,0,1,0,0,0,0
258,22.0,2,5.0,2.25,60,15,0,1,0,0,1,0,0,1,0,0,0,0,1,0
259,22.0,4,5.0,0.75,30,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0
260,30.0,1,0.3,0.75,5,10,1,0,0,0,1,0,1,1,0,0,1,0,0,0
261,22.0,4,0.75,0.75,5,5,0,0,1,0,1,1,1,1,0,0,1,0,0,0
262,22.0,4,0.3,0.3,5,5,0,0,1,0,1,1,0,1,0,1,0,0,0,0
263,22.0,4,0.75,0.3,10,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0
264,30.0,4,4.25,5.0,15,45,0,0,1,0,0,0,0,1,0,0,0,0,0,1
265,22.0,2,0.3,1.25,3,10,0,1,0,1,1,0,1,1,0,0,0,1,0,0
266,30.0,4,2.25,1.75,20,10,0,0,1,0,0,0,1,1,0,0,0,1,0,0
267,30.0,4,1.25,1.25,10,15,0,0,1,0,0,0,1,1,0,0,0,1,0,0
268,22.0,4,1.75,0.75,5,5,0,0,1,0,1,1,1,1,0,0,1,0,0,0
269,22.0,4,0.3,4.75,5,20,0,0,1,0,1,0,0,1,0,0,0,0,0,1
270,22.0,4,0.75,0.3,10,5,0,0,1,0,0,0,1,1,0,1,0,0,0,0
271,54.0,4,0.3,3.75,5,15,0,0,1,0,1,0,1,1,0,0,0,0,1,0
272,65.0,4,0.3,0.3,10,10,0,0,1,0,1,0,1,1,0,1,0,0,0,0
273,30.0,4,0.3,2.75,5,15,0,0,1,0,1,1,0,1,0,0,0,0,1,0
274,30.0,4,2.75,3.25,7,7,0,0,1,0,1,0,0,1,0,0,0,0,1,0
275,22.0,4,0.3,5.0,6,20,0,0,1,0,1,0,0,1,0,0,0,0,0,1
276,22.0,2,0.3,1.75,5,3,0,1,0,1,1,0,0,1,0,0,0,1,0,0
277,22.0,2,0.75,0.3,15,5,0,1,0,0,1,0,0,1,0,1,0,0,0,0
278,22.0,2,4.25,0.3,10,5,0,1,0,1,1,0,0,1,0,1,0,0,0,0
279,22.0,4,1.25,2.75,10,10,0,0,1,0,1,0,1,1,0,0,0,0,1,0
280,22.0,4,0.75,0.75,7,7,0,0,1,0,1,1,0,1,0,0,1,0,0,0
281,40.0,4,5.0,1.75,45,20,0,0,1,0,1,1,0,1,0,0,0,1,0,0
282,22.0,1,0.3,0.3,5,5,1,0,0,1,1,0,1,1,0,1,0,0,0,0
283,22.0,4,0.75,0.75,10,10,0,0,1,0,0,0,1,1,0,0,1,0,0,0
284,30.0,4,0.75,0.75,10,10,0,0,1,0,0,1,1,1,0,0,1,0,0,0
285,22.0,4,0.3,1.25,5,15,0,0,1,0,0,1,1,1,0,0,0,1,0,0
286,30.0,4,1.25,0.3,10,5,0,0,1,0,0,1,1,1,0,1,0,0,0,0
287,30.0,2,0.3,2.25,5,10,0,1,0,0,0,1,1,1,0,0,0,0,1,0
288,30.0,4,0.75,0.3,10,2,0,0,1,0,0,1,1,1,0,1,0,0,0,0
289,22.0,4,1.75,1.25,10,15,0,0,1,0,0,0,1,1,0,0,0,1,0,0
290,30.0,4,1.75,0.3,15,5,0,0,1,0,0,1,1,1,0,1,0,0,0,0
291,22.0,4,1.75,0.75,5,5,0,0,1,0,1,1,1,1,0,0,1,0,0,0
292,22.0,2,0.3,3.25,5,20,0,1,0,1,0,0,1,1,0,0,0,0,1,0
293,40.0,4,0.75,0.75,3,10,0,0,1,1,1,0,1,1,0,0,1,0,0,0
294,54.0,4,0.75,0.3,4,5,0,0,1,1,1,0,1,1,0,1,0,0,0,0
295,54.0,4,0.3,5.0,5,45,0,0,1,1,1,1,1,1,0,0,0,0,0,1
296,22.0,4,0.3,3.25,2,15,0,0,1,0,1,1,1,1,0,0,0,0,1,0
297,40.0,4,0.75,2.75,10,10,0,0,1,0,1,1,1,1,0,0,0,0,1,0
298,30.0,4,0.3,0.3,3,2,0,0,1,0,1,0,1,1,0,1,0,0,0,0
299,22.0,2,0.75,0.75,10,10,0,1,0,0,0,0,0,1,0,0,1,0,0,0
300,40.0,2,0.3,0.3,5,5,0,1,0,1,0,1,1,1,0,1,0,0,0,0
301,40.0,4,0.75,5.0,10,20,0,0,1,0,1,0,1,1,0,0,0,0,0,1
302,30.0,2,0.3,1.25,5,15,0,1,0,0,1,1,1,1,0,0,0,1,0,0
303,22.0,2,4.25,1.25,20,10,0,1,0,0,1,1,1,1,0,0,0,1,0,0
304,22.0,4,0.3,0.3,5,2,0,0,1,0,1,1,1,1,0,1,0,0,0,0
305,22.0,1,0.3,1.75,5,10,1,0,0,0,0,0,1,1,0,0,0,1,0,0
