ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
446,22.0,2,0.3,0.3,5,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
447,22.0,4,0.3,0.75,5,7,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
448,30.0,4,4.25,0.3,15,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
449,22.0,4,0.3,0.3,2,6,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
450,22.0,4,5.0,0.75,60,10,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
451,22.0,1,0.3,1.75,3,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
452,22.0,4,5.0,1.75,45,10,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
453,22.0,4,0.75,0.3,10,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
454,40.0,4,0.3,0.75,5,5,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
455,22.0,4,0.3,1.25,5,20,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
456,22.0,4,0.75,0.3,10,5,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
457,22.0,2,0.3,0.3,3,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
458,40.0,4,0.75,2.25,10,20,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
459,22.0,2,1.25,0.75,15,10,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
460,22.0,4,2.25,0.3,10,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
461,22.0,2,0.3,0.3,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
462,22.0,2,0.75,0.75,10,7,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
463,22.0,4,4.25,1.25,10,5,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
464,22.0,2,0.3,2.25,5,10,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
465,22.0,4,0.3,0.75,5,10,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
466,30.0,2,5.0,0.3,40,7,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
467,30.0,4,0.75,0.75,7,7,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
468,22.0,4,0.3,1.25,5,10,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
469,40.0,4,1.25,0.3,3,10,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
470,22.0,2,0.3,0.75,5,20,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
471,22.0,2,0.75,0.3,10,5,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
472,30.0,4,5.0,0.3,20,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
473,30.0,4,0.75,0.75,15,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
474,22.0,2,0.75,0.3,10,6,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
475,22.0,2,2.75,1.25,15,5,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
