ID,USE,ACCESS_TIME,AD,ED,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,AGE,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
25,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,0,1,1,30.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
26,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
27,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
28,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
29,4,3.2399999999999993,0.6479999999999999,0.144,0.7199999999999999,0,0,0,1,1,22.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
30,3,8.999999999999998,1.7999999999999998,1.0799999999999998,5.399999999999999,0,0,1,0,0,22.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
31,2,3.5999999999999996,0.72,0.36,1.7999999999999998,0,1,0,0,1,54.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
32,3,0.7199999999999999,0.144,2.0,10.0,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
33,4,1.7999999999999998,0.36,0.072,0.35999999999999993,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
34,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
35,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
36,4,19.599999999999998,3.92,0.144,0.7199999999999999,0,0,0,1,0,30.0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
37,2,5.399999999999999,1.0799999999999998,2.67,13.35,0,1,0,0,0,22.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
38,4,2.1599999999999997,0.43199999999999994,0.72,3.5999999999999996,0,0,0,1,0,40.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
39,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
40,4,0.7199999999999999,0.144,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
41,4,1.0799999999999998,0.21599999999999997,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
42,3,1.7999999999999998,0.36,0.504,2.52,0,0,1,0,0,22.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
43,4,2.52,0.504,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
44,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
45,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,0,1,0,22.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
46,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
47,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,30.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
48,3,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,0,22.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
49,3,3.5999999999999996,0.72,0.8639999999999999,4.319999999999999,0,0,1,0,0,22.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
50,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
51,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,1,30.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
52,2,3.5999999999999996,0.72,0.72,3.5999999999999996,0,1,0,0,0,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
53,4,5.399999999999999,1.0799999999999998,1.44,7.199999999999999,0,0,0,1,0,22.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
54,1,23.520000000000003,4.704000000000001,0.21599999999999997,1.0799999999999998,1,0,0,0,0,22.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
55,4,10.0,2.0,0.576,2.8799999999999994,0,0,0,1,0,22.0,1,1,0,1,0,0,0,1,0,0,1,0,0,0
56,2,1.7999999999999998,0.36,0.36,1.7999999999999998,0,1,0,0,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
57,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,1,54.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
58,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,1,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
59,4,1.7999999999999998,0.36,0.504,2.52,0,0,0,1,1,30.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
60,4,1.7999999999999998,0.36,0.9359999999999999,4.68,0,0,0,1,1,30.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
61,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,0,1,1,40.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
62,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,0,1,1,30.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
63,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
64,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
65,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
66,4,1.7999999999999998,0.36,0.504,2.52,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
67,3,5.399999999999999,1.0799999999999998,1.0799999999999998,5.399999999999999,0,0,1,0,0,22.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
68,4,2.52,0.504,0.504,2.52,0,0,0,1,1,22.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
69,4,0.35999999999999993,0.072,0.36,1.7999999999999998,0,0,0,1,1,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
70,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
71,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
72,3,5.399999999999999,1.0799999999999998,0.72,3.5999999999999996,0,0,1,0,1,30.0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
73,1,3.5999999999999996,0.72,0.144,0.7199999999999999,1,0,0,0,0,22.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
74,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,1,22.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
75,4,2.52,0.504,0.9359999999999999,4.68,0,0,0,1,0,54.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
76,4,0.35999999999999993,0.072,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
77,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
78,1,7.199999999999999,1.44,0.36,1.7999999999999998,1,0,0,0,0,22.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
79,3,7.199999999999999,1.44,0.504,2.52,0,0,1,0,1,30.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
80,4,0.7199999999999999,0.144,0.72,3.5999999999999996,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
81,1,1.7999999999999998,0.36,0.072,0.35999999999999993,1,0,0,0,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
82,4,1.7999999999999998,0.36,0.072,0.35999999999999993,0,0,0,1,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
83,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
84,3,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
85,1,0.35999999999999993,0.072,0.144,0.7199999999999999,1,0,0,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
86,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
87,3,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,0,0,22.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
88,3,7.199999999999999,1.44,1.44,7.199999999999999,0,0,1,0,1,30.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
89,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
90,4,2.52,0.504,0.72,3.5999999999999996,0,0,0,1,1,30.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
91,3,7.199999999999999,1.44,0.72,3.5999999999999996,0,0,1,0,1,30.0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
92,3,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,0,0,30.0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
93,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
94,1,1.7999999999999998,0.36,0.072,0.35999999999999993,1,0,0,0,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
95,4,0.7199999999999999,0.144,1.568,7.84,0,0,0,1,0,30.0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
96,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,1,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
97,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,1,30.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
98,1,1.7999999999999998,0.36,0.36,1.7999999999999998,1,0,0,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
99,3,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
100,3,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,0,1,22.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
