,AGE,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,WB,CYCLE,GENDER,UNO,SERO,VEHICLE,RENT,ACCESS,EGRESS
531,22.0,4,1.7999999999999998,0.5,0.5,1.0799999999999998,0,0,1,0,0,0,1,0,1,15,1,0
532,30.0,4,5.399999999999999,1.75,0.5,2.52,0,0,1,0,0,1,1,0,0,15,1,0
539,30.0,4,3.5999999999999996,0.75,0.5,0.35999999999999993,0,0,1,1,0,1,1,0,0,15,1,0
541,22.0,4,3.5999999999999996,0.75,0.5,0.35999999999999993,0,0,1,0,0,1,1,0,0,15,1,0
542,30.0,4,3.5999999999999996,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,15,1,0
544,40.0,4,3.5999999999999996,0.5,0.5,1.0799999999999998,0,0,1,0,0,1,1,0,0,15,1,0
545,22.0,4,3.5999999999999996,0.75,1.25,7.199999999999999,0,0,1,0,0,1,1,0,0,15,1,0
546,22.0,4,3.5999999999999996,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,15,1,0
551,22.0,4,3.5999999999999996,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,15,1,0
552,30.0,4,39.199999999999996,3.25,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,1,15,1,0
553,30.0,4,16.674999999999997,1.75,1.75,33.349999999999994,0,0,1,0,0,1,1,0,0,15,1,0
557,40.0,4,10.0,5.0,1.25,5.399999999999999,0,0,1,1,1,1,1,0,1,15,1,0
558,22.0,4,1.7999999999999998,0.5,4.25,32.04,0,0,1,0,0,1,1,0,0,15,1,0
566,40.0,2,39.199999999999996,1.75,0.75,1.7999999999999998,0,1,0,1,0,1,1,0,1,15,1,0
570,22.0,2,1.4399999999999997,0.5,0.5,1.0799999999999998,0,1,0,1,0,0,1,0,1,15,1,0
571,22.0,4,26.7,1.25,0.75,13.35,0,0,1,1,0,1,1,0,1,15,1,0
572,40.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,0,1,0,1,15,1,0
573,30.0,4,3.5999999999999996,0.75,0.75,3.5999999999999996,0,0,1,1,0,0,1,0,1,15,1,0
574,30.0,4,39.199999999999996,1.75,1.75,20.0,0,0,1,1,0,1,1,0,1,15,1,0
575,22.0,2,1.7999999999999998,0.5,0.75,1.7999999999999998,0,1,0,0,0,0,1,0,0,15,1,0
576,22.0,2,3.5999999999999996,0.75,3.25,40.05,0,1,0,0,0,0,1,0,1,15,1,0
577,22.0,4,2.52,0.75,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,0,15,1,0
578,22.0,4,5.399999999999999,0.75,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,15,1,0
579,22.0,4,3.5999999999999996,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,15,1,0
580,40.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,0,1,0,1,15,1,0
581,30.0,4,5.0,1.25,0.5,1.0799999999999998,0,0,1,1,0,0,1,0,1,15,1,0
583,22.0,4,20.0,2.75,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,15,1,0
587,22.0,1,3.5999999999999996,0.75,0.5,2.52,1,0,0,0,0,0,1,0,1,15,1,0
588,22.0,4,3.0,0.5,0.75,2.52,0,0,1,1,0,0,1,0,1,15,1,0
589,22.0,4,40.05,5.0,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,0,15,1,0
590,22.0,4,3.5999999999999996,0.75,0.5,0.35999999999999993,0,0,1,1,0,1,1,0,1,15,1,0
591,30.0,4,5.399999999999999,0.75,0.5,0.7199999999999999,0,0,1,1,0,1,1,0,1,15,1,0
592,22.0,2,3.5999999999999996,0.75,0.5,1.7999999999999998,0,1,0,1,0,1,1,0,0,15,1,0
593,30.0,4,2.8799999999999994,0.5,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,1,15,1,0
595,54.0,4,16.674999999999997,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,15,1,0
596,22.0,2,3.5999999999999996,0.75,0.5,1.7999999999999998,0,1,0,1,0,1,1,0,0,15,1,0
597,22.0,4,58.8,1.25,1.75,26.7,0,0,1,1,1,1,1,0,1,15,1,0
600,54.0,4,1.7999999999999998,0.5,3.75,40.05,0,0,1,0,0,1,1,0,1,15,1,0
601,30.0,1,0.7199999999999999,0.5,0.5,1.0799999999999998,1,0,0,1,0,1,1,0,1,15,1,0
602,30.0,1,7.199999999999999,1.75,1.75,7.199999999999999,1,0,0,0,0,1,1,0,0,15,1,0
603,30.0,4,78.39999999999999,4.75,0.5,1.0799999999999998,0,0,1,1,0,1,1,0,1,15,1,0
604,40.0,4,4.68,0.75,1.75,21.36,0,0,1,1,0,0,1,0,1,15,1,0
605,22.0,2,7.0,1.75,2.75,13.35,0,1,0,0,1,0,1,0,1,15,1,0
606,22.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,0,0,1,1,0,0,15,1,0
608,22.0,2,5.0,0.75,5.0,40.05,0,1,0,0,0,0,1,0,1,15,1,0
610,30.0,1,5.399999999999999,0.75,0.5,1.0799999999999998,1,0,0,1,0,1,1,0,1,15,1,0
612,22.0,1,2.8799999999999994,0.75,2.75,20.0,1,0,0,0,0,1,1,0,1,15,1,0
613,22.0,4,2.8799999999999994,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,15,1,0
614,22.0,1,3.5999999999999996,0.75,0.5,1.0799999999999998,1,0,0,0,0,1,1,0,0,15,1,0
616,30.0,1,1.7999999999999998,0.5,0.75,5.399999999999999,1,0,0,1,0,1,1,0,1,15,1,0
620,30.0,4,5.399999999999999,1.75,1.25,5.399999999999999,0,0,1,0,0,1,1,0,1,15,1,0
622,40.0,4,4.0,0.75,0.75,1.7999999999999998,0,0,1,0,0,0,1,0,1,15,1,0
624,30.0,1,58.8,3.25,0.75,3.5999999999999996,1,0,0,1,1,1,1,0,0,15,1,0
627,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,15,1,0
630,30.0,4,26.7,2.75,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,1,15,1,1
631,40.0,4,2.52,0.5,0.75,3.5999999999999996,0,0,1,0,1,0,1,0,1,15,1,0
632,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,15,1,0
633,22.0,2,5.0,1.25,0.75,1.7999999999999998,0,1,0,0,0,0,1,0,1,15,1,0
638,22.0,4,1.7999999999999998,0.5,1.25,13.35,0,0,1,0,0,1,1,0,0,15,1,1
640,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,0,15,1,0
