ID,AGE,USE,ACCESS_DISTANCE,EGRESS_DISTANCE,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,DM6,DE1,DE2,DE3,DE4,DE5,DE6
2059,30.0,3,1.25,0.3,15,5,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2060,22.0,3,0.75,0.75,10,10,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2061,22.0,3,2.75,1.25,10,10,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2062,22.0,4,0.3,0.3,5,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2063,30.0,2,0.75,0.3,10,5,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2064,22.0,1,1.75,0.3,20,5,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2065,30.0,2,3.75,1.25,12,15,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2066,30.0,1,3.75,0.3,20,5,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2067,22.0,1,3.75,0.3,15,4,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2068,22.0,3,0.75,0.75,10,10,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2069,30.0,4,0.75,0.75,10,10,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2070,22.0,4,1.75,1.75,10,10,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2071,22.0,2,0.3,1.25,5,15,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2072,22.0,3,0.75,0.3,10,5,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2073,30.0,1,0.75,0.3,10,5,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2074,30.0,1,1.25,0.3,10,5,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2075,30.0,2,0.3,2.25,5,10,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2076,30.0,1,0.75,0.3,10,2,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2077,22.0,3,1.75,1.25,10,15,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2078,22.0,3,0.3,0.75,5,5,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2079,54.0,4,0.75,5.0,5,28,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2080,30.0,4,1.75,0.3,15,5,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2081,30.0,2,5.0,1.25,20,10,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2082,22.0,4,1.75,0.75,5,5,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2083,30.0,4,0.3,0.3,2,2,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2084,22.0,4,2.75,0.75,20,10,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2085,22.0,2,0.3,3.25,5,20,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2086,40.0,4,0.75,0.75,3,10,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2087,30.0,3,0.3,0.3,5,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2088,54.0,3,0.75,0.3,4,5,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2089,54.0,4,0.3,5.0,5,45,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2090,22.0,4,0.75,0.75,2,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2091,40.0,3,1.25,0.75,15,10,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2092,22.0,4,0.3,3.25,2,15,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2093,22.0,4,0.75,0.3,10,5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2094,40.0,4,0.75,2.75,10,10,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2095,30.0,4,0.3,0.3,3,2,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2096,30.0,4,5.0,0.75,30,5,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2097,22.0,3,0.75,0.75,10,10,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2098,22.0,4,0.3,4.75,5,20,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2099,40.0,2,5.0,1.75,30,10,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2100,40.0,2,0.3,0.3,5,5,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
