ID,O_LEVEL,OM_LEVEL,A_LEVEL_DIFF,A_SLOPE_TYPE,DM_LEVEL,D_LEVEL,E_LEVEL_DIFF,E_SLOPE_TYPE,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_LAT,D_LONG,E_DISTANCE_MAP,E_TIME_MAP,D_TYPE,O_LANDMARK,O_LAT,O_LONG,A_DISTANCE_MAP,A_TIME_MAP,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK_RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M,ACCESS_DIS_B,EGRESS_DIS_B,VEHICLE
100,920,925,5,rise,824,824,0,flat,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Mysore Road (purple line),Kengeri anchepalya,12.8915447,77.45798216,15.5,32,Work,Chimnaswamy Majestic ,12.97952206,77.59959585,12,4.6,Friend,16:15:00,Metro ,60,Auto Rickshaw ,12,2.5 km to 3 km ,5,Auto Rickshaw ,5,3 km to 3.5 km ,4,For neither access nor egress trips ,,,Metro card ,300,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0,0,0,0,0,10,-1,2,7,1,1,6,7,4,0,5,5,4,4,0
101,905,905,0,mixed,912,897,-15,fall,Jalahalli (green line),Krishna Rajendra Market (green line),"Chamrajpet,kr market ",12.96454984,77.57691145,0.55,7,Home,"Peenya,Balaji nagar,",13.01694885,77.49424641,5.7,19,School,16:45:00,Metro ,60,Auto Rickshaw ,15,4 km to 4.5 km ,6,Walk ,10,< 0.5 km ,,For both access and egress trips ,,,Metro card ,60,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Doctorate,Employed,>2 Lakhs,0,1,1,0,0,10,-1,1,3,1,2,9,1,3,1,5,1,5,1,1
104,917,898,-19,fall,925,880,-45,fall,Jalahalli (green line),Rajajinagar (green line),"Rajajinagar, basaveshwara nagar,Lulu mall ",12.98184454,77.56356047,5.1,14,Friend,"Jalahalli cross, vaishnavi rathnam apartment ",13.04330325,77.51908212,0.55,8,Home,17:00:00,Metro ,30,Walk ,5,< 0.5 km ,6,Auto Rickshaw ,10,1.5 km to 2 km ,5,For egress trip only ,,,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1,2,0,0,0,10,-1,7,1,1,2,1,4,2,1,1,5,1,3,1
105,898,901,3,flat,929,936,-7,rise,Jalahalli (green line),Jayanagar (green line),BDS complex ,12.93017381,77.58408681,0.65,10,Shopping,Jalahalli cross bus stop,13.04012546,77.51779753,0.23,5,Other,17:15:00,Metro ,45,Walk ,10,0.5 to 1 km ,6,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,45,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1,1,1,0,0,10,-1,4,8,1,1,2,1,3,0,1,1,2,1,1
108,919,914,-5,fall,926,908,-18,fall,Yeshwanthpur (green line),Cubbon Park (purple line),"Cubbon park,idc",12.9659556,77.59314355,1.9,20,Friend,"Yeshwantpur,govardhan theatre ",13.02194636,77.55139542,0.17,3,Home,17:00:00,Metro ,60,Walk ,10,0.5 to 1 km ,5,Auto Rickshaw ,20,1.5 km to 2 km ,4,For both access and egress trips ,,,Metro card ,80,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0,1,0,0,0,10,-1,7,1,1,2,2,4,3,0,1,5,2,3,1
109,898,909,11,rise,876,880,4,rise,Jalahalli (green line),"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)","Hosahalli , vijaynagar 2nd cross",12.97633633,77.54530525,0.3,4,Home,"Peenya , near Peenya industry police station ",13.03605313,77.52169995,0.8,13,Friend,17:30:00,Metro ,30,Walk ,10,0.5 to 1 km ,6,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,38,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0,0,0,0,0,10,-1,1,7,1,1,2,1,4,1,1,1,2,1,0
111,901,898,-3,flat,921,928,7,rise,Jalahalli (green line),South End Circle (green line),"South end circle,madhavan park",12.93623547,77.58633012,0.75,11,Home,Jalahalli cross (sira),13.04048515,77.51900021,0.2,3,Work,17:50:00,Metro ,40,Walk ,5,< 0.5 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,42,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",1,2,0,0,0,10,-1,1,2,1,2,1,2,4,1,1,1,1,2,1
115,868,880,12,mixed,925,920,-5,fall,Nagasandra (green line),Rajajinagar (green line),"Akash coaching centre, rajajinagar",12.99994564,77.55035451,0.12,3,School,Prestige appartment in nagasandra ,13.05258118,77.49092008,1.9,5,Home,08:35:00,Metro ,60,Two-Wheeler ,6,4.5 km to 5 km ,3,Walk ,3,< 0.5 km ,,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,10th,Student,"1,00,001 – 2,00,000",1,2,1,0,0,10,-1,3,1,1,1,10,1,1,0,3,1,5,1,1
116,880,885,5,rise,900,896,-4,hydrograph,Nagasandra (green line),Indiranagar (purple line),"Dommalor,80 feet road ",12.97266302,77.64833193,1.6,21,Work,"Soundarya layout, nagasandra, Jindal ",13.0661595,77.49425133,2.7,8,Home,08:20:00,Metro ,50,Two-Wheeler ,10,2.5 km to 3 km ,7,Walk ,20,2.5 km to 3 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",1,1,0,0,0,10,-1,2,1,1,1,6,6,4,1,3,1,4,4,1
117,885,890,10,mixed,906,910,4,rise,Nagasandra (green line),National College (green line),National college ,12.94872592,77.57313319,0.35,5,School,"Nagasandra, chikkabanavara,Ashoka theatre ",13.08076808,77.49862915,5.8,16,Home,08:10:00,Metro ,70,Dropped-off by friends/others ,20,> 5 km ,4,Walk ,20,2.5 km to 3 km ,,For both access and egress trips ,,,No ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"10,001 – 25,000",0,1,1,0,0,10,-1,3,1,1,1,11,6,3,1,8,1,5,4,1
120,928,928,0,flat,905,883,-22,fall,Peenya (green line),Jayaprakash Nagar (green line),"Kathriguppe,brand factory ",12.92415371,77.54842907,3.5,10,Work,"Thindli, Narayana hospital ",13.01209024,77.54889992,4.6,20,Home,20:00:00,Metro ,60,Dropped-off by friends/others ,20,> 5 km ,5,Auto Rickshaw ,10,2.5 km to 3 km ,5,For both access and egress trips ,,,No ,110,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",0,2,0,0,0,10,-1,2,1,1,2,11,6,3,1,8,5,5,4,1
122,931,931,0,flat,887,887,0,flat,Jayanagar (green line),Nagasandra (green line),Prakriya hospital,13.04585054,77.50721956,0.75,10,Social,Btm first stage,12.92054219,77.61041218,4.9,20,Home,09:00:00,Metro ,70,Two-Wheeler ,20,4.5 km to 5 km ,2,Walk ,5,< 0.5 km ,,For egress trip only ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0,1,0,0,0,10,-1,6,1,1,1,10,1,2,1,3,1,5,1,1
123,861,855,-7,fall,924,922,-2,flat,Silk Institute (green line),Mahatma Gandhi Road (purple line),"Church Street,bowring institute ",12.97433577,77.60771133,0.3,5,Work,"Kanakapura road, brigade meadows ",12.81348341,77.50834661,9.5,20,Home,09:20:00,Metro ,80,Car ,20,3.5 km to 4 km ,2,Walk ,5,< 0.5 km ,,For access trip only ,,,No ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",1,0,1,0,0,10,-1,2,1,1,2,8,1,1,1,4,1,4,1,1
124,855,861,6,rise,928,928,0,flat,Silk Institute (green line),Jalahalli (green line),"Near Carry foods, Jalahalli ",13.04342975,77.54839471,4.7,15,Friend,"Kagalupura, near ganapati temple ",12.80267648,77.50492099,8.3,15,Home,09:30:00,Metro ,60,Two-Wheeler ,15,4.5 km to 5 km ,0,Auto Rickshaw ,15,4.5 km to 5 km ,5,For neither access nor egress trips ,,,Mobility card ,100,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,26-35 yrs ,10th,Daily,"25,001 – 50,000",0,2,0,0,0,10,-1,7,1,1,2,10,10,4,0,3,5,5,5,1
125,905,920,15,rise,915,902,-13,fall,South End Circle (green line),Goraguntepalya (green line),TExport overseas gurukuntepalya,13.0241656,77.53962459,0.65,8,Work,Tr nagar south end circle ,12.9311588,77.56644618,2,30,Home,09:34:00,Metro ,40,Walk ,5,0.5 to 1 km ,2,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,46-60 yrs ,Graduate,Employed,"50,001 – 1,00,000",1,2,1,0,0,10,-1,2,1,1,4,2,2,3,1,1,1,2,2,1
126,906,896,-10,mixed,925,925,0,fall,Baiyappanahalli (purple line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Commissioner office ,12.97182453,77.58511713,0.65,9,Work,Bayappanahalli kalkere,13.03355074,77.67735664,6.7,25,Home,09:15:00,Metro ,60,Auto Rickshaw ,25,> 5 km ,3,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Mobility card ,220,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,36-45 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",1,2,1,0,0,10,-1,2,1,1,3,11,2,3,0,5,1,5,2,1
128,906,905,-1,flat,936,936,0,flat,Swami Vivekananda Road (purple line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Vidhanasudha ,12.9796736,77.58969987,0.35,5,Other,CV raman hospital ,12.98269939,77.64498784,0.55,7,Work,10:00:00,Metro ,23,Walk ,5,< 0.5 km ,3,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,3,0,0,0,0,10,-1,8,2,1,2,1,2,4,0,1,1,1,2,1
130,903,903,0,flat,930,923,-7,fall,Indiranagar (purple line),Jayanagar (green line),Jayanagar 4th block,12.92592249,77.58328262,0.65,9,Work,Indiranagar cmh road,12.97831402,77.63755501,0.046,1,Home,10:00:00,Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,13,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,1,1,0,0,0,10,-1,2,1,1,2,1,2,4,0,1,1,1,2,1
131,900,900,0,mixed,913,913,0,flat,Jayaprakash Nagar (green line),Goraguntepalya (green line),"Gorguntepalaya,sparsh hospital ",13.02772862,77.54318984,0.2,3,Work,"JP nagar,billekahalli",12.89830056,77.60791617,4.5,15,Friend,09:40:00,Metro ,40,Two-Wheeler ,15,2.5 km to 3 km ,1,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,45,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"10,001 – 25,000",0,1,0,0,0,10,-1,2,7,1,1,6,2,4,1,3,1,4,2,1
132,900,871,-29,fall,922,922,0,flat,Indiranagar (purple line),Jalahalli (green line),Peeny industry third phase,13.0231045,77.51418199,2.6,10,Work,Marathahalli yashumathi hospital,12.95295547,77.71799984,10.8,45,Home,08:30:00,Metro ,120,Car ,45,> 5 km ,4,Auto Rickshaw ,10,0.5 to 1 km ,0,For neither access nor egress trips ,,,Metro card ,70,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,46-60 yrs ,Postgraduate,Employed,"1,00,001 – 2,00,000",1,1,1,0,0,10,-1,2,1,1,4,11,2,4,1,4,5,5,2,1
136,925,921,-4,fall,814,814,0,mixed,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Pantharapalya - Nayandahalli (purple line),"Nayandahalli,Anjani pharma ",12.93822479,77.52818504,1.4,21,Work,"Central college ,Chickpete",12.97583021,77.58560088,0.22,3,Work,10:15:00,Metro ,20,Walk ,10,0.5 to 1 km ,5,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0,1,0,0,0,10,-1,2,2,1,2,2,2,4,0,1,1,2,2,1
138,915,925,10,rise,891,891,0,flat,Rajajinagar (green line),Nagasandra (green line),"Near ikea,nagasandra ",13.04858063,77.49891364,0.11,1,Home,KLE collage ,12.99528252,77.55388168,0.8,12,School,10:00:00,Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,1,1,0,0,0,10,-1,1,3,1,1,1,2,4,1,1,1,1,2,1
139,901,901,0,flat,905,905,0,hydrograph,Nagasandra (green line),Yelachenahalli (green line),HSBC office futura four,12.89276431,77.60040236,3.9,55,Work,Widya school nagasandra,13.05020874,77.50241911,0.45,7,Home,10:30:00,Metro ,80,Walk ,10,< 0.5 km ,7,Walk ,20,3 km to 3.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1,1,0,0,0,10,-1,2,1,1,2,1,7,4,1,1,1,1,4,1
142,764,762,-2,fall,900,895,-5,hydrograph,Kengeri (purple line),Indiranagar (purple line),"Taco street,hal 3rd stage ",12.97111422,77.64927892,1.8,6,Home,Rajarajeswari hospital,12.89624495,77.4650566,2.2,6,Work,10:30:00,Metro ,75,Auto Rickshaw ,10,2 km to 2.5 km ,6,Auto Rickshaw ,5,1 km to 1.5 km ,4,For both access and egress trips ,,,No ,150,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Student,"1,00,001 – 2,00,000",0,0,0,0,0,10,-1,1,2,1,2,5,3,3,0,5,5,4,3,0
144,914,897,-17,fall,909,889,-20,fall,Mantri Square Sampige Road (green line),Indiranagar (purple line),Texas review,12.96531032,77.64318123,1.7,23,Work,8th cross malleshwaram ,12.9990549,77.57303154,1.8,6,Home,11:00:00,Metro ,30,Dropped-off by friends/others ,5,0.5 to 1 km ,10,Walk ,15,1.5 km to 2 km ,,For neither access nor egress trips ,,,No ,30,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1,1,1,0,0,10,-1,2,1,1,1,2,4,4,0,8,1,2,3,1
145,892,892,0,flat,924,922,-2,flat,Nagasandra (green line),Mahatma Gandhi Road (purple line),Mg road church street,12.97433577,77.60771133,0.3,5,School,Nagsandra ikea ,13.04857017,77.4990102,0.11,1,Home,10:30:00,Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,2,1,0,0,0,10,-1,3,1,1,1,1,2,4,0,1,1,1,2,1
147,913,907,-6,fall,919,911,-8,fall,National College (green line),Trinity (purple line),Tinge cosmetics trinity,12.97706613,77.6181667,1,15,Other,Jain college vasvi road,12.94965815,77.57724237,0.5,7,School,11:05:00,Metro ,30,Walk ,15,0.5 to 1 km ,1,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1,2,0,0,0,10,-1,8,3,1,1,2,2,3,0,1,1,2,2,1
151,897,897,0,flat,781,800,19,rise,Nagasandra (green line),Kengeri (purple line),Acs college kengeri,12.89150155,77.46353247,3.2,44,School,Jindal aluminium limited nagasandra ,13.05486652,77.48309124,2.4,38,Home,11:20:00,Metro ,120,Walk ,20,1 km to 1.5 km ,5,Walk ,30,2 km to 2.5 km ,,For both access and egress trips ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,>2 Lakhs,1,2,0,0,0,10,-1,3,1,1,1,3,5,3,1,1,1,3,4,1
152,922,900,-22,fall,937,937,0,flat,Lalbagh (green line),Nagasandra (green line),"Dabasspete, sompura industrial area ",13.22307559,77.30016126,37.1,47,Work,"Madivala,near aiyappa temple ",,,7,20,Home,10:10:00,Metro ,160,Ola/Uber car ,20,> 5 km ,5,Two-Wheeler ,45,> 5 km ,,For neither access nor egress trips ,,,No ,90,No crowding  - Most ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,"50,001 – 1,00,000",0,1,0,0,0,10,-1,2,1,1,3,11,11,4,1,6,3,5,5,1
153,898,901,3,rise,912,904,-8,fall,Jalahalli (green line),Krishna Rajendra Market (green line),"Victoria hospital,  KR Market ",12.96430147,77.57607933,0.55,7,Other,Jalahalli cross bus stop (chalkere),13.03856243,77.51881495,0.3,6,Home,11:35:00,Metro ,30,Walk ,5,< 0.5 km ,6,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,No ,38,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0,0,0,0,0,10,-1,8,1,1,1,1,1,4,0,1,1,1,1,0
156,886,866,0,hydrograph,925,919,-6,fall,Nagasandra (green line),Rajajinagar (green line),"Akash byjus, Rajajinagar ananya hospital beside ",12.99980373,77.5504966,0.14,2,School,"Near maramma temple, baglugutte, ganapati badavane",13.05691268,77.50136135,1.4,20,Home,11:25:00,Metro ,21,Walk ,10,1 km to 1.5 km ,8,Walk ,2,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"50,001 – 1,00,000",1,2,0,0,0,10,-1,3,1,1,1,3,1,1,1,1,1,3,1,1
157,898,909,11,rise,909,909,0,flat,Jalahalli (green line),Swami Vivekananda Road (purple line),"Ade ,drdo",12.97947997,77.65226067,1.4,19,Work,"Jalahalli cross,Peenya industry near play station ",13.03603222,77.52231149,0.8,13,Work,11:30:00,Metro ,70,Walk ,5,0.5 to 1 km ,1,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,50,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Trade,Employed,"25,001 – 50,000",0,0,0,0,0,10,-1,2,2,1,1,2,2,4,1,1,1,2,2,0
158,895,897,2,rise,933,933,0,flat,Nagasandra (green line),Banashankari (green line),"Katriguppe, 3rd stage 80 feet road",13.02793162,77.57886691,26,11.5,Work,"Matanayakanahalli, Canadian school",13.05636773,77.45423897,8.7,20,Home,11:30:00,Metro ,40,Two-Wheeler ,20,> 5 km ,4,Auto Rickshaw ,15,> 5 km ,8,For both access and egress trips ,,,No ,95,No crowding  - Most ,Male,,,Metro ,36-45 yrs ,Trade,Employed,"50,001 – 1,00,000",1,1,0,0,0,10,-1,2,1,1,3,11,11,3,1,3,5,5,5,1
159,909,898,-11,fall,901,870,-31,rise,Indiranagar (purple line),Magadi Road (purple line),"Rajajinagar,5th block ",12.98537547,77.55168008,1.9,10,Home,"Indiranagar,8th cross",12.97172559,77.64654823,1.6,21,Work,11:30:00,Metro ,30,Walk ,17,1 km to 1.5 km ,6,Two-Wheeler ,10,2 km to 2.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Student,,1,2,0,0,0,10,-1,1,2,1,2,3,5,3,0,1,3,3,4,1
160,902,905,3,rise,925,925,0,flat,Indiranagar (purple line),Mahatma Gandhi Road (purple line),Mg road brigade road,12.97514914,77.60835524,0.18,3,Other,Indiranagar motherhood hospital ,12.97848809,77.6375243,0.1,2,Home,11:45:00,Metro ,45,Walk ,7,0.5 to 1 km ,5,Walk ,13,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,46-60 yrs ,Graduate,Unemployed,,1,1,0,0,0,10,-1,8,1,1,4,2,2,4,0,1,1,2,2,1
163,918,918,0,flat,906,911,5,rise,Baiyappanahalli (purple line),National College (green line),"Basavnagudi,Py spider",12.94751476,77.56578658,1.2,18,Work,"Kaggadasapura,CV Raman nagar",12.97921425,77.66516426,3,45,Home,11:00:00,Metro ,60,Bicycle ,45,> 5 km ,3,Walk ,5,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,"25,001 – 50,000",0,1,1,0,0,10,-1,2,1,1,1,11,2,1,1,2,1,5,2,1
164,920,920,0,parabola ,931,931,0,flat,Rajajinagar (green line),Jayanagar (green line),Jayanagar 9th block ,12.92041032,77.59282193,2.2,10,Home,"Rajajinagar,  Karnataka gastero centre hospital ",13.00056895,77.54694317,0.55,8,Other,11:30:00,Metro ,60,Walk ,5,< 0.5 km ,8,Auto Rickshaw ,20,4.5 km to 5 km ,5,For neither access nor egress trips ,,,No ,29,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",1,0,0,0,0,10,-1,1,8,1,2,1,10,4,0,1,5,1,5,1
170,925,925,0,mixed,789,792,3,flat,Rashtreeya Vidyalaya Road (green line),Kengeri Bus Terminal (purple line),Kengeri bmtc bus stand,12.91045972,77.48284294,0.75,5,Home,JAIN univeristy ,12.91820463,77.59145442,1.7,23,School,11:50:00,Metro ,75,Walk ,20,1.5 km to 2 km ,8,Walk ,5,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus ,18-25 yrs ,Graduate,Student,"1,00,001 – 2,00,000",1,1,1,0,0,10,-1,1,3,1,1,4,2,1,1,1,1,3,2,1
181,920,920,0,flat,921,926,5,rise,Doddakallasandra (green line),South End Circle (green line),"South end circle,surana college ",12.93659943,77.57819143,0.4,6,School,"Anajana pura ,ds max stonescape",12.88463202,77.54332447,5.6,15,Home,12:55:00,Metro ,20,Two-Wheeler ,15,4.5 km to 5 km ,1,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,2,2,3,0,0,10,-1,3,1,1,1,10,1,4,1,3,1,5,1,1
182,892,894,2,flat,892,883,-9,fall,Vajarahalli (green line),Vijayanagar (purple line),"15th main road SBI colony, vijaynagar ",12.97174019,77.53419137,0.3,4,Home,KSI college ,12.8793739,77.54418699,0.22,3,School,12:50:00,Metro ,60,Walk ,5,< 0.5 km ,6,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"50,001 – 1,00,000",1,2,0,0,0,10,-1,1,3,1,1,1,1,3,1,1,1,1,1,1
183,902,902,0,mixed,918,922,4,rise,Yelachenahalli (green line),Trinity (purple line),"Kotak Mahindra Bank, Trinity ",12.97302481,77.61596732,0.17,3,Work,"JP nagar 7th phase,kotak Mahindra Bank ",12.90390123,77.5911991,3.6,9,Work,12:30:00,Metro ,35,Dropped-off by friends/others ,5,3.5 km to 4 km ,8,Walk ,2,< 0.5 km ,,For egress trip only ,,,No ,42,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0,2,0,0,0,10,-1,2,2,1,2,8,1,2,1,8,1,4,1,1
185,908,919,11,rise,911,924,13,rise,Jayaprakash Nagar (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",SJM towers,12.9798645,77.57812845,1.3,18,Work,"JP nagar, near Saraki Market ",12.91160723,77.57371639,0.5,8,Home,13:00:00,Metro ,50,Walk ,10,0.5 to 1 km ,5,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",1,0,0,0,0,10,-1,2,1,1,2,2,2,3,0,1,1,2,2,1
204,919,926,7,rise,880,880,0,flat,Trinity (purple line),"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)",Veeresh theater ,12.97701975,77.5460816,0.4,5,Home,Mital tower,12.97345438,77.615868,0.23,4,Work,03:00:00,Metro ,25,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Employed,,0,1,0,0,0,10,-1,1,2,1,1,1,1,3,0,1,1,1,1,1
206,900,928,28,rise,895,904,9,rise,Jalahalli (green line),Halasuru (purple line),"Halasuru,jog palya somaeshwara temple",12.97555486,77.62335574,0.35,5,Home,"Jalahalli,srs college ",13.0333128,77.5305559,1.6,25,School,15:05:00,Metro ,50,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For access trip only ,,,No ,45,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,10th,Student,"25,001 – 50,000",0,1,0,0,0,10,-1,1,3,1,1,1,1,1,1,1,1,1,1,1
208,919,919,0,flat,891,891,0,flat,Trinity (purple line),Nagasandra (green line),Nagasandra ikea,13.04853872,77.49897149,0.24,4,Shopping,1mg mall,12.97345557,77.62085555,0.4,6,Work,15:20:00,Metro ,45,Walk ,6,1.5 km to 2 km ,6,Walk ,4,< 0.5 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1,1,0,0,0,10,-1,4,2,1,1,4,1,1,0,1,1,3,1,1
217,916,918,2,rise,923,925,2,rise,Trinity (purple line),Vijayanagar (purple line),"Magadi road,achraya Bangalore b school ",13.00797148,77.45930765,9,40,Home,"St Joseph's , trinity ",12.97261193,77.61238989,0.65,9,School,15:30:00,Metro ,60,Walk ,5,0.5 to 1 km ,6,Car ,40,> 5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Student,,1,1,0,0,0,10,-1,1,3,1,1,2,11,4,0,1,4,2,5,1
