ID,O_LEVEL,OM_LEVEL,A_LEVEL_DIFF,A_SLOPE_TYPE,DM_LEVEL,D_LEVEL,E_LEVEL_DIFF,E_SLOPE_TYPE,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_LAT,D_LONG,E_DISTANCE_MAP,E_TIME_MAP,D_TYPE,O_LANDMARK,O_LAT,O_LONG,A_DISTANCE_MAP,A_TIME_MAP,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK_RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M,ACCESS_DIS_B,EGRESS_DIS_B,VEHICLE
48,904,904,0,hydrograph,863,869,6,rise,Jayaprakash Nagar (green line),Attiguppe (purple line),Attigeppe metro station near,12.95988459,77.52897793,0.7,10,Shopping,"6th phase , behind rayol school, jp nagar ",12.90041328,77.58564079,2.2,8,Home,11:45:00,Metro ,60,Auto Rickshaw ,30,2 km to 2.5 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,> 60 yrs ,Graduate,Unemployed,"1,00,001 – 2,00,000",1,1,0,0,0,10,-1,4,1,1,5,5,2,4,1,5,1,4,2,1
50,908,915,7,mixed,887,891,-4,flat,Jayaprakash Nagar (green line),Nagasandra (green line),IKEA shopping mall nagasandra ,13.04873303,77.49924895,0.24,4,Shopping,Nihmans hospital ,12.94062015,77.59409846,6,22,Work,11:45:00,Metro ,60,Auto Rickshaw ,10,2.5 km to 3 km ,2,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,> 60 yrs ,Graduate,Unemployed,"25,001 – 50,000",0,0,0,0,0,10,-1,4,2,1,5,6,2,3,1,5,1,4,2,0
52,905,897,-8,hydrograph,891,891,0,flat,Jayaprakash Nagar (green line),Nagasandra (green line),"Ikea, nagasandra ",13.04873303,77.49924895,0.24,4,Shopping,"Dollars colony,  4th phase JP nagar",12.9050442,77.59846607,3,11,Home,12:30:00,Metro ,60,Auto Rickshaw ,15,2.5 km to 3 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,57,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0,0,1,0,0,10,-1,4,1,1,2,6,1,4,0,5,1,4,1,0
53,864,844,20,hydrograph,906,910,4,flat,Attiguppe (purple line),Konanakunte Cross (green line),"Konankunte,forum mall",12.88846883,77.56294532,0.26,4,Shopping,"Attigupe,nagabhavi circle",12.95917651,77.51821056,2.3,6,Home,12:15:00,Metro ,30,Two-Wheeler ,5,1 km to 1.5 km ,7,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Unemployed,,2,3,1,0,0,10,-1,4,1,1,2,3,1,4,0,3,1,3,1,1
54,887,877,-10,fall,925,921,-4,fall,"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)","Sir.M.Visvesvaraya Stn., Central College (purple line)",central,12.97600794,77.58612659,0.22,3,Other,Vasavi college balagangadhara,12.97352873,77.54299447,0.35,4,Other,12:40:00,Metro ,15,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Trade,Student,,0,0,0,0,0,10,-1,8,8,1,1,2,2,4,1,1,1,2,2,0
55,925,925,0,mixed,900,814,-84,mixed,Rashtreeya Vidyalaya Road (green line),Yeshwanthpur (green line),"Tumkur, Saraswathi purum",13.33252894,77.09525051,64.5,71,Home,"Time institute, jaynagar branch ",12.91462608,77.58557536,1.3,19,School,12:10:00,Metro ,180,Walk ,20,2 km to 2.5 km ,5,They will travel by normal train in yeshwantpur ,120,> 5 km ,0,For access trip only ,,,Other type of pass ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Student,>2 Lakhs,1,2,0,0,0,10,-1,1,3,1,2,5,11,1,1,1,11,4,5,1
56,915,920,5,hydrograph,890,895,5,hydrograph,Srirampura (green line),Nagasandra (green line),"Ramaiah layout, 1st cross , near nagasandra metro station ",13.05234458,77.50214098,0.75,11,Home,"R T nagar, shanthisagar hotel near ",13.02441367,77.5924761,7.2,30,Friend,12:05:00,Metro ,60,Auto Rickshaw ,30,2.5 km to 3 km ,2,Two-Wheeler ,5,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,36-45 yrs ,12th,Employed,"25,001 – 50,000",0,1,0,0,0,10,-1,1,7,1,3,6,2,1,1,5,3,4,2,1
57,820,820,0,flat,920,912,-8,hydrograph,Pantharapalya - Nayandahalli (purple line),Mahatma Gandhi Road (purple line),Commercial Street ,12.98250056,77.60832989,2.4,15,Shopping,"Nayandahalli,divinity mall",12.94060864,77.52505873,1,15,Home,12:15:00,Metro ,20,Walk ,2,< 0.5 km ,5,Ola/Uber car ,15,1.5 km to 2 km ,4,For egress trip only ,,,No ,80,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Student,,0,2,0,0,0,10,-1,4,1,1,1,1,4,2,0,1,6,1,3,1
59,936,936,0,flat,894,874,-20,fall,Jayanagar (green line),Vajarahalli (green line),Karishma hills vajrahalli,12.88804032,77.53433659,2.3,6,Home,Allen jayanagar,12.93354837,77.58357216,0.8,11,School,13:30:00,Metro ,20,Walk ,5,< 0.5 km ,2,Car ,5,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,10th,Student,,1,0,1,0,0,10,-1,1,3,1,1,1,2,3,1,1,4,1,2,1
63,862,862,0,flat,931,931,0,mixed,Silk Institute (green line),Jalahalli (green line),Yellahanka near mother diary,13.08304029,77.54807718,7.6,20,Friend,Art of living ashram sil imstitute,12.82866465,77.51179524,5,15,Home,14:20:00,Metro ,70,Car ,15,4 km to 4.5 km ,5,Car ,20,> 5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,> 60 yrs ,Graduate,Unemployed,"1,00,001 – 2,00,000",0,0,0,0,0,10,-1,7,1,1,5,9,11,4,1,4,4,5,5,0
