,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
1006,Silk institute ,,"Jalahalli cross,",Work,Kanakapura road,Friend,09:25:00,Metro ,60,Walk ,5,< 0.5 km ,9,Dropped-off by friends/others ,10,0.5 to 1 km ,0,For neither access nor egress trips ,,,No ,60,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus ,26-35 yrs ,10th,Employed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,2,7,1,2,1,3,1,1,1,8
1007,Rajarajeshwari nagar,,Majestic civil court,Work,Rajarajeshwari comples,Home,09:30:00,Metro ,45,Two-Wheeler ,15,3 km to 3.5 km ,3,Rapido/Uber Moto/Ola two-wheeler ,15,2 km to 2.5 km ,3,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,36-45 yrs ,Graduate,Business,"25,001 – 50,000",1.0,1,0,0,0,10,-1,2,1,1,3,5,11,3,0,3,7
1008,Rajarajeshwari nagar,,"Whitefield, phoenix mall",Work,"Rajarajeshwari nagar,beml complex",Home,09:30:00,Metro + Bus ,120,Rapido/uber moto/Ola App two-wheeler ,30,2 km to 2.5 km ,8,Walk ,5,< 0.5 km ,,For access trip only ,3,30,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,1,0,0,10,-1,2,1,3,2,11,1,2,0,7,1
1009,,Kengeri to byapnahalli ,"Indra nagar, toyt",Work,Kengeri ,Home,09:25:00,Metro ,50,Walk ,5,< 0.5 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,1,2,0,0,10,-1,2,1,1,1,1,1,1,1,1,1
1010,,Kengeri to bayappanahalli ,Visvesaraya college traffic court,Other,rr nagar gopalan arch,Home,09:45:00,Metro ,30,Walk ,15,1.5 km to 2 km ,5,Walk ,15,1.5 km to 2 km ,,For neither access nor egress trips ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,36-45 yrs ,Graduate,Unemployed,,0.0,1,0,0,0,10,-1,8,1,1,3,2,2,1,0,1,1
1011,,Silk institute to Peenya industry,"Jayanagar 4th block,Rv school ",Work,"Ravagootulu, kanakapura road ",Home,08:30:00,Bus + Metro ,75,Walk ,15,0.5 to 1 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,2,8,Ordinary Monthly Pass ,28,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,"10,001 – 25,000",0.0,1,1,0,0,10,-1,2,1,2,2,3,3,1,1,1,1
1012,,Silk institute to nagasandra ,"kumarswamy layout, DS college ",Other,"DSATM, udhipalya",School,09:30:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,5,Auto Rickshaw ,10,1.5 km to 2 km ,7,For both access and egress trips ,3,7,Metro card ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus ,Metro ,18-25yrs ,12th,Student,,0.0,0,0,0,0,10,-1,8,3,2,1,1,2,3,0,1,5
1013,,Kengeri to byappanahalli ,Mg road TOI building ,Work,RR nagar BDA apartment ,Home,09:20:00,Metro ,45,Bicycle ,12,2 km to 2.5 km ,5,Walk ,4,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Bus ,18-25 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,1,0,0,10,-1,2,1,1,1,11,3,3,0,2,1
1014,,Silk institute to Peenya industry ,"Basavnagudi,gandi bazar",Work,"Gobbalala gate,",Home,09:55:00,Metro ,12,Walk ,2,< 0.5 km ,3,Walk ,6,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,25,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,46-60 yrs ,Graduate,Employed,"10,001 – 25,000",0.0,2,1,0,0,10,-1,2,1,1,4,1,1,1,1,1,1
1015,,Silk institute to nagasandra ,Malleshwaram temple ,Social,"Vajrahalli, ragavendhra layout ",Home,09:40:00,Metro ,60,Two-Wheeler ,10,1 km to 1.5 km ,6,Pick up ,15,2.5 km to 3 km ,6,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,1,0,0,10,-1,6,1,1,2,4,7,1,0,3,8
