ACCESS_TIME_BINNED,1,2,3,4
1-10,54.5,13.64,23.43,8.43
11-20,42.56,6.41,34.78,16.25
21-30,44.94,8.99,31.46,14.61
31-40,60.0,33.33,6.67,0.0
41-50,50.0,37.5,0.0,12.5
All,52.04,12.38,25.57,10.01
