,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK_RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M,ACCESS_DIS_B,EGRESS_DIS_B
353,353,Jalahalli (green line),Srirampura (green line),Kk mart srirampura,Shopping,"Dhanvanthri college, chikbanavara",School,14:00:00,Metro ,45,Two-Wheeler ,15,3.5 km to 4 km ,6,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,30,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,0,0,0,10,-1,4,3,1,1,8,1,4,1,3,1,4,1
354,354,Jalahalli (green line),Deepanjali Nagar (purple line),"Deepanjali Nagar , satelite bus stop ",Other,"Vidyaranpura, chandu blooms appartment ",Friend,13:30:00,Bus + Metro ,40,Walk ,5,0.5 to 1 km ,30,Walk ,2,< 0.5 km ,,For egress trip only ,2.0,8.0,No ,60,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,1,0,0,10,-1,8,7,2,1,2,1,2,1,1,1,2,1
355,355,Jalahalli (green line),Indiranagar (purple line),Indiranagar KFC signal ,Work,"Jalahalli,prince town appartments ",Work,14:45:00,Metro ,120,Rapido/Uber moto/Ola App two-wheeler ,15,2.5 km to 3 km ,6,Two-Wheeler ,20,4.5 km to 5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,2,0,0,0,10,-1,2,2,1,2,6,10,3,1,7,3,4,5
356,356,Jalahalli (green line),National College (green line),Passport office near national college ,Other,"Jalahalli cross,  opposite to ICICi atm",Home,14:55:00,Metro ,45,Walk ,5,< 0.5 km ,6,Auto Rickshaw ,10,3.5 km to 4 km ,5.0,For neither access nor egress trips ,,,Metro card ,60,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,0,0,0,10,-1,8,1,1,1,1,8,4,0,1,5,1,4
357,357,Baiyappanahalli (purple line),Attiguppe (purple line),RNs institute attifuppe,Home,Mahadevpura,Work,15:00:00,Bus + Metro ,80,Office shuttles,5,0.5 to 1 km ,10,Two-Wheeler ,20,1 km to 1.5 km ,,For both access and egress trips ,10.0,4.0,Metro card ,42,No crowding  - 25-50% of seats occupied ,Male,,,Bus and Metro ,36-45 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,0,0,0,10,-1,1,2,2,3,2,3,3,1,9,3,2,3
358,358,Jalahalli (green line),Yeshwanthpur (green line),"Yeshwantpur , ganapati temple near",Home,"Jalahalli cross, near aiyappa temple ",Work,15:00:00,Metro ,30,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,46-60 yrs ,Graduate,Business,,1.0,1,1,0,0,10,-1,1,2,1,4,1,1,4,1,1,1,1,1
359,359,Baiyappanahalli (purple line),Chickpet (green line),Kr market masjid,Shopping,Whitefield metro station,Home,14:45:00,Metro1 + Bus + Metro2 ,90,Walk ,5,< 0.5 km ,0,Walk ,10,1 km to 1.5 km ,,For egress trip only ,2.0,0.0,Metro card ,10,No crowding  - Most ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,1,0,0,0,10,-1,4,1,5,2,1,3,2,1,1,1,1,3
360,360,Jalahalli (green line),National College (green line),Near Bull temple ,Home,Jalahalli cross(coming from chikmagalur),Other,16:30:00,Metro ,45,Walk ,5,< 0.5 km ,9,Auto Rickshaw ,10,1 km to 1.5 km ,5.0,For neither access nor egress trips ,,,No ,90,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Unemployed,,0.0,0,0,0,0,10,-1,1,8,1,1,1,3,4,0,1,5,1,3
361,361,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Majestic railway station (to Hyderabad),Work,"Peenya, industrial area ",Home,14:45:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,10,Walk ,5,< 0.5 km ,,For access trip only ,5.0,7.0,No ,55,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,46-60 yrs ,10th,Business,"25,001 – 50,000",1.0,2,1,1,0,10,-1,2,1,2,4,2,1,1,1,1,1,2,1
362,362,Jalahalli (green line),Mahalakshmi (green line),"Marapana palya, mahalaxmi layout, Sri kanteswara nagar",Home,GFGC T dasarahalli ,School,15:00:00,Metro ,25,Walk ,10,1 km to 1.5 km ,8,Walk ,10,0.5 to 1 km ,,For access trip only ,,,No ,20,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,0,10,-1,1,3,1,1,3,2,1,1,1,1,3,2
363,363,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Halasuru (purple line),One mg mall,Home,Maharani college ,School,14:00:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,4,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,5.0,5.0,Metro card ,10,High crowding - All seats AND 50-75% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,1,0,0,0,10,-1,1,3,2,1,1,2,3,0,1,1,1,2
364,364,Jalahalli (green line),Lalbagh (green line),"Shanti nagar, Lalbagh ",Work,"Ayyappa temple, jalahalli ",Home,15:45:00,Metro ,45,Two-Wheeler ,2,0.5 to 1 km ,7,Auto Rickshaw ,20,3.5 km to 4 km ,5.0,For neither access nor egress trips ,,,Metro card ,100,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Business,>2 Lakhs,2.0,3,0,0,0,10,-1,2,1,1,3,2,8,4,1,3,5,2,4
365,365,Nagasandra (green line),Mantri Square Sampige Road (green line),Malleshwaram ,Home,IKEA NAGASANDRA ,Shopping,14:30:00,Metro ,45,Walk ,3,< 0.5 km ,1,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,18-25 yrs ,Postgraduate,Student,,0.0,1,0,0,0,10,-1,1,4,1,1,1,2,2,1,1,1,1,2
366,366,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Konanakunte Cross (green line),"Konankunte cross,forum mall",Shopping, Yelahanka 4th phase,Home,14:44:00,Bus + Metro ,90,Walk ,7,0.5 to 1 km ,10,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,10.0,7.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,1.0,1,1,0,0,10,-1,4,1,2,1,2,1,4,0,1,1,2,1
367,367,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Majestic ,Other,"Mallasandra, ayappa temple pipe line road ",Home,15:50:00,Metro ,15,Walk ,10,0.5 to 1 km ,8,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,No ,35,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Unemployed,,0.0,2,0,0,0,10,-1,8,1,1,1,2,2,3,1,1,1,2,2
368,368,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jayanagar (green line),Jaynagar 4th block,Work,RT nagar simply namdharais,Home,15:20:00,Bus + Metro ,50,Dropped-off by friends/others ,8,2 km to 2.5 km ,6,Walk ,3,< 0.5 km ,,For access trip only ,8.0,6.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,>2 Lakhs,1.0,2,0,0,0,10,-1,2,1,2,1,5,1,1,0,8,1,4,1
369,369,Jalahalli (green line),Rajajinagar (green line),"Shankarmutt, rajajinagar ",Home,"Sapthagiri college,  chikkasandra",School,15:50:00,Bus1 + Metro + Bus2 ,90,Walk ,2,< 0.5 km ,2,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5.0,0.0,Metro card ,0,No crowding  - Most ,Female,Yes ,Metro ,Metro ,18-25yrs ,12th,Student,"10,001 – 25,000",0.0,3,1,0,0,10,-1,1,3,4,1,1,1,4,0,1,1,1,1
370,370,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Sent jons hospital near, madivala",Home,"Jalahalli, aiyappa temple near",Friend,15:45:00,Metro + Bus ,120,Walk ,10,1 km to 1.5 km ,8,Walk ,6,0.5 to 1 km ,,For neither access nor egress trips ,2.0,2.0,No ,54,No crowding  - Most ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,1,7,3,1,3,2,4,1,1,1,3,2
371,371,Rajajinagar (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Avenue road,Other,"Rajajinagar,og variar bakery ",Home,15:40:00,Metro ,27,Auto Rickshaw ,7,1.5 km to 2 km ,6,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,50,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,0,10,-1,8,1,1,1,4,2,4,0,5,1,3,2
372,372,Jalahalli (green line),Krishna Rajendra Market (green line),"Chamrajpet, near police station ",Home,"Majestic, opposite of bus stop ",Work,15:55:00,Metro ,25,Two-Wheeler ,2,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,10th,Employed,,1.0,2,0,0,0,10,-1,1,2,1,2,1,1,3,1,3,1,1,1
373,373,"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Indiranagar (purple line),Indiranagar ,Home,Vidhan saudha,School,16:00:00,Metro ,15,Walk ,12,0.5 to 1 km ,4,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Student,,0.0,0,0,0,0,10,-1,1,3,1,2,2,2,2,1,1,1,2,2
374,374,Halasuru (purple line),Mahalakshmi (green line),Iskon temple ,Social,Halasuru near lake,Home,15:50:00,Metro ,60,Auto Rickshaw ,10,2 km to 2.5 km ,5,Walk ,6,0.5 to 1 km ,,For access trip only ,,,No ,70,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,36-45 yrs ,12th,Unemployed,,1.0,1,0,0,0,10,-1,6,1,1,3,5,2,1,0,5,1,4,2
375,375,Jalahalli (green line),Rajajinagar (green line),"Magadi road, near GT mall",Home,"MS ramahiya college, near brindhavan stop",School,04:15:00,Bus1 + Metro + Bus2 ,60,Walk ,5,< 0.5 km ,2,Walk ,5,< 0.5 km ,,For both access and egress trips ,3.0,7.0,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,12th,Student,,1.0,2,0,0,0,10,-1,1,3,4,1,1,1,3,0,1,1,1,1
376,376,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),Byapanahalli metro station ,Home,"Yelahanka,shirti manipal",School,15:00:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,6.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,2.0,1,1,0,0,10,-1,1,3,2,1,1,2,4,0,1,1,1,2
377,377,Jalahalli (green line),Rajajinagar (green line),"Rajajinagar, opposite to metro station ",School,"Ramchandra pura , near bus stop",Home,16:00:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,2,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2.0,8.0,Metro card ,15,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Student,,0.0,1,1,0,0,10,-1,3,1,2,1,1,1,4,1,1,1,1,1
378,378,Baiyappanahalli (purple line),Vijayanagar (purple line),ViJAYANAGAR ,Home,Whitefield ,Work,15:40:00,Metro1 + Bus + Metro2 ,80,Walk ,15,1 km to 1.5 km ,7,Walk ,10,0.5 to 1 km ,,For egress trip only ,10.0,2.0,Metro card ,20,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,1,2,5,2,3,2,2,1,1,1,3,2
