ID,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,WB,AGE,GENDER,UNO,SERO,VEHICLE,RENT,ACCESS,EGRESS,CYCLE
227,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,1,1,22.0,1,1,0,1,5,0,1,0
232,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,1,40.0,1,1,0,1,5,0,1,0
251,4,0.7199999999999999,0.144,0.72,3.5999999999999996,0,0,1,0,30.0,1,1,0,1,5,0,1,0
255,1,1.7999999999999998,0.36,0.36,1.7999999999999998,1,0,0,0,22.0,1,1,0,0,5,0,1,0
258,4,3.5999999999999996,0.72,0.144,0.7199999999999999,0,0,1,0,22.0,1,1,0,1,5,0,1,0
266,4,7.199999999999999,1.44,0.72,3.5999999999999996,0,0,1,1,22.0,1,1,0,1,5,0,1,0
267,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,22.0,1,1,0,1,5,0,1,0
275,4,1.7999999999999998,0.36,0.576,2.8799999999999994,0,0,1,0,30.0,0,1,0,0,5,0,1,0
277,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,40.0,1,1,0,1,5,1,1,0
282,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,1,30.0,1,1,0,1,5,0,1,0
291,1,5.399999999999999,1.0799999999999998,0.72,3.5999999999999996,1,0,0,1,22.0,0,1,0,1,5,0,1,0
293,4,5.399999999999999,1.0799999999999998,0.72,3.5999999999999996,0,0,1,1,30.0,1,1,0,0,5,0,1,0
294,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,1,1,40.0,1,1,0,1,5,0,1,0
297,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,22.0,1,1,0,1,5,0,1,0
299,4,1.0799999999999998,0.21599999999999997,0.36,1.7999999999999998,0,0,1,1,30.0,1,1,0,0,5,0,1,0
328,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,1,30.0,0,1,0,1,5,0,1,0
342,4,5.399999999999999,1.0799999999999998,0.504,2.52,0,0,1,0,22.0,0,1,0,1,5,0,1,0
353,4,3.5999999999999996,0.72,0.504,2.52,0,0,1,0,22.0,0,1,0,1,5,0,1,1
354,2,3.5999999999999996,0.72,0.8639999999999999,4.319999999999999,0,1,0,0,22.0,0,1,0,0,5,0,1,0
356,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,30.0,0,1,0,0,5,0,1,0
358,4,0.7199999999999999,0.144,0.72,3.5999999999999996,0,0,1,1,22.0,0,1,0,0,5,0,1,1
363,4,2.1599999999999997,0.43199999999999994,0.72,3.5999999999999996,0,0,1,0,30.0,0,1,0,1,5,0,1,0
377,4,2.52,0.504,0.72,3.5999999999999996,0,0,1,0,40.0,0,1,0,1,5,0,1,0
390,4,1.7999999999999998,0.36,0.504,2.52,0,0,1,0,30.0,0,1,0,1,5,0,1,1
394,4,0.7199999999999999,0.144,0.43199999999999994,2.1599999999999997,0,0,1,0,22.0,1,1,0,1,5,0,1,1
403,4,3.5999999999999996,0.72,1.44,7.199999999999999,0,0,1,0,40.0,0,1,0,1,5,0,1,0
410,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,22.0,0,1,0,0,5,0,1,0
456,4,1.0799999999999998,0.21599999999999997,1.7999999999999998,8.999999999999998,0,0,1,1,40.0,0,1,0,0,5,0,1,0
467,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,1,0,22.0,1,1,0,1,5,0,1,1
468,2,2.52,0.504,1.0799999999999998,5.399999999999999,0,1,0,0,22.0,0,1,0,1,5,0,1,0
471,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,1,0,22.0,1,1,0,1,5,0,1,0
482,4,5.399999999999999,1.0799999999999998,1.0799999999999998,5.399999999999999,0,0,1,0,22.0,1,1,0,1,5,0,1,0
488,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,1,0,22.0,1,1,0,1,5,0,1,0
489,4,2.1599999999999997,0.43199999999999994,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,1,5,0,1,0
500,4,1.7999999999999998,0.36,1.568,7.84,0,0,1,1,65.0,1,1,0,1,5,0,1,0
506,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,1,30.0,1,1,0,1,5,0,1,0
507,1,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,1,0,0,1,22.0,0,1,0,0,5,0,1,0
512,4,2.8799999999999994,0.576,0.576,2.8799999999999994,0,0,1,1,30.0,1,1,0,0,5,0,1,0
514,4,5.399999999999999,1.0799999999999998,1.7999999999999998,8.999999999999998,0,0,1,0,22.0,1,1,0,1,5,0,1,1
516,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,1,0,30.0,1,1,0,1,5,0,1,0
522,1,1.7999999999999998,0.36,0.72,3.5999999999999996,1,0,0,0,22.0,1,1,0,1,5,0,1,1
524,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,1,1,30.0,1,1,0,0,5,0,1,0
577,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,1,30.0,1,1,0,0,5,0,1,0
586,4,5.399999999999999,1.0799999999999998,0.144,0.7199999999999999,0,0,1,1,22.0,1,1,0,1,5,0,1,0
588,4,0.7199999999999999,0.144,0.43199999999999994,2.1599999999999997,0,0,1,0,22.0,0,1,0,1,5,0,1,1
597,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,1,22.0,1,1,0,0,5,0,1,0
602,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,0,22.0,0,1,0,1,5,0,1,0
610,2,1.7999999999999998,0.36,0.144,0.7199999999999999,0,1,0,0,22.0,1,1,0,1,5,0,1,0
619,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,0,22.0,1,1,0,0,5,0,1,0
621,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,54.0,0,1,0,1,5,0,1,1
622,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,1,30.0,1,1,0,1,5,0,1,0
